Simulation mode: False
CELL COUNT: 9834
CELL COUNT: 9834
CELL COUNT: 9937
CELL COUNT: 9937
CELL COUNT: 9988
CELL COUNT: 10031
CELL COUNT: 10031
CELL COUNT: 10075
CELL COUNT: 10123
CELL COUNT: 10123
CELL COUNT: 10183
CELL COUNT: 10850
CELL COUNT: 10850
CELL COUNT: 10896
CELL COUNT: 10941
CELL COUNT: 10941
CELL COUNT: 10986
CELL COUNT: 11027
CELL COUNT: 11027
CELL COUNT: 11059
CELL COUNT: 11103
CELL COUNT: 11103
CELL COUNT: 11145
CELL COUNT: 11187
CELL COUNT: 11187
CELL COUNT: 11228
CELL COUNT: 11268
CELL COUNT: 11268
CELL COUNT: 11310
CELL COUNT: 11352
CELL COUNT: 11352
CELL COUNT: 11401
CELL COUNT: 11439
CELL COUNT: 11439
CELL COUNT: 11477
CELL COUNT: 11516
CELL COUNT: 11516
CELL COUNT: 11545
CELL COUNT: 11582
CELL COUNT: 11582
CELL COUNT: 11624
CELL COUNT: 11663
CELL COUNT: 11663
CELL COUNT: 11708
CELL COUNT: 11748
CELL COUNT: 11748
CELL COUNT: 11792
CELL COUNT: 11792
CELL COUNT: 11835
CELL COUNT: 11880
CELL COUNT: 11880
CELL COUNT: 11951
CELL COUNT: 12004
CELL COUNT: 12004
CELL COUNT: 12048
CELL COUNT: 12093
CELL COUNT: 12093
CELL COUNT: 12144
CELL COUNT: 12188
CELL COUNT: 12188
CELL COUNT: 12239
CELL COUNT: 12296
CELL COUNT: 12296
CELL COUNT: 12346
CELL COUNT: 12391
CELL COUNT: 12391
CELL COUNT: 12435
CELL COUNT: 12482
CELL COUNT: 12482
CELL COUNT: 12541
CELL COUNT: 12608
CELL COUNT: 12608
CELL COUNT: 12665
CELL COUNT: 12714
CELL COUNT: 12714
CELL COUNT: 12754
CELL COUNT: 12801
CELL COUNT: 12801
CELL COUNT: 12801
CELL COUNT: 12884
CELL COUNT: 12884
CELL COUNT: 12929
CELL COUNT: 12984
CELL COUNT: 12984
CELL COUNT: 13041
CELL COUNT: 13101
CELL COUNT: 13101
CELL COUNT: 13162
CELL COUNT: 13221
CELL COUNT: 13221
CELL COUNT: 13275
CELL COUNT: 13330
CELL COUNT: 13330
CELL COUNT: 13382
CELL COUNT: 13433
CELL COUNT: 13433
CELL COUNT: 13492
CELL COUNT: 13538
CELL COUNT: 13580
CELL COUNT: 13580
CELL COUNT: 13642
CELL COUNT: 13700
CELL COUNT: 13700
CELL COUNT: 13741
CELL COUNT: 13793
CELL COUNT: 13793
CELL COUNT: 13847
CELL COUNT: 13912
CELL COUNT: 13912
CELL COUNT: 13989
CELL COUNT: 14049
CELL COUNT: 14049
CELL COUNT: 14111
CELL COUNT: 14111
CELL COUNT: 14175
CELL COUNT: 14241
CELL COUNT: 14241
CELL COUNT: 14292
CELL COUNT: 14345
CELL COUNT: 14345
CELL COUNT: 14402
CELL COUNT: 14466
CELL COUNT: 14466
CELL COUNT: 14528
CELL COUNT: 14597
CELL COUNT: 14597
CELL COUNT: 14669
CELL COUNT: 14737
CELL COUNT: 14737
CELL COUNT: 14786
CELL COUNT: 14838
CELL COUNT: 14838
CELL COUNT: 14900
CELL COUNT: 14968
CELL COUNT: 14968
CELL COUNT: 15035
CELL COUNT: 15093
CELL COUNT: 15093
CELL COUNT: 15146
CELL COUNT: 15204
CELL COUNT: 15204
CELL COUNT: 15259
CELL COUNT: 15315
CELL COUNT: 15315
CELL COUNT: 15376
CELL COUNT: 15436
CELL COUNT: 15436
CELL COUNT: 15496
CELL COUNT: 15565
CELL COUNT: 15565
CELL COUNT: 15624
CELL COUNT: 15624
CELL COUNT: 15673
CELL COUNT: 15721
CELL COUNT: 15721
CELL COUNT: 15779
CELL COUNT: 15833
CELL COUNT: 15883
